field,signal,value,delay
current,Vehicle.VehicleIdentification.VIN,YV2E4C3A5VB180692,0.5
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,60,0.01
current,Vehicle.Speed,79.6875,0.26965856552124
current,Vehicle.TripDuration,0.675,0.298
current,Vehicle.AverageSpeed,60.75,0.298
current,Vehicle.Service.DistanceToService,23.98,0.1
current,Vehicle.TraveledDistanceSinceStart,800.7,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,30,0.298
current,Vehicle.EmissionsCO2,23,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,20.7,0.298 
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,60,0.01
current,Vehicle.Speed,72.6875,0.26965856552124
current,Vehicle.TripDuration,0.672,0.298
current,Vehicle.AverageSpeed,60.15,0.298
current,Vehicle.Service.DistanceToService,22.98,0.1
current,Vehicle.TraveledDistanceSinceStart,801.7,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,30,0.298
current,Vehicle.EmissionsCO2,23,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,20.5,0.298 
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,61,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,79.6875,0.26965856552124
current,Vehicle.TripDuration,0.695,0.298
current,Vehicle.AverageSpeed,60.95,0.298
current,Vehicle.Service.DistanceToService,21.98,0.1
current,Vehicle.TraveledDistanceSinceStart,802.7,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,30,0.298
current,Vehicle.EmissionsCO2,21,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,20.1,0.298 
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,49.6875,0.26965856552124
current,Vehicle.TripDuration,0.755,0.298
current,Vehicle.AverageSpeed,80.95,0.298
current,Vehicle.Service.DistanceToService,20.18,0.1
current,Vehicle.TraveledDistanceSinceStart,804.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,41,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,49.6875,0.26965856552124
current,Vehicle.TripDuration,0.755,0.298
current,Vehicle.AverageSpeed,80.95,0.298
current,Vehicle.Service.DistanceToService,20.01,0.1
current,Vehicle.TraveledDistanceSinceStart,806.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,31,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.97,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,26.22,0.26552124
current,Vehicle.TripDuration,0.765,0.298
current,Vehicle.AverageSpeed,60.35,0.298
current,Vehicle.Service.DistanceToService,19.88,0.1
current,Vehicle.TraveledDistanceSinceStart,807.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,41,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,49.6875,0.26965856552124
current,Vehicle.TripDuration,0.755,0.298
current,Vehicle.AverageSpeed,80.95,0.298
current,Vehicle.Service.DistanceToService,19.00,0.1
current,Vehicle.TraveledDistanceSinceStart,808.8,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,41,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,19.98,0.298
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
