field,signal,value,delay
current,Vehicle.VehicleIdentification.VIN,YV2E4C3A5VB180694,0.5
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,LIMIT_5,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,70,0.01
current,Vehicle.Speed,89.9975,0.26965856552124
current,Vehicle.TripDuration,0.875,0.298
current,Vehicle.AverageSpeed,68.25,0.298
current,Vehicle.Service.DistanceToService,103.01,0.1
current,Vehicle.TraveledDistanceSinceStart,900.7,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,53,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,20.7,0.298 
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,60,0.01
current,Vehicle.Speed,82.6875,0.26965856552124
current,Vehicle.TripDuration,0.872,0.298
current,Vehicle.AverageSpeed,61.05,0.298
current,Vehicle.Service.DistanceToService,103.02,0.1
current,Vehicle.TraveledDistanceSinceStart,901.7,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,32,0.298
current,Vehicle.EmissionsCO2,53,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,20.5,0.298 
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,61,0.01
current,Vehicle.Chassis.Brake.Circuit1.PedalPosition,61,0.01
current,Vehicle.Speed,79.6875,0.26965856552124
current,Vehicle.TripDuration,0.995,0.298
current,Vehicle.AverageSpeed,79.15,0.298
current,Vehicle.Service.DistanceToService,103.23,0.1
current,Vehicle.TraveledDistanceSinceStart,905.7,0.1 
current,Vehicle.Chassis.Axle.Row1.Wheel.Left.Brake.PadWear,30,0.298
current,Vehicle.EmissionsCO2,51,0.298
current,Vehicle.Powertrain.FuelSystem.AbsoluteLevel,20.1,0.298 
current,Vehicle.Tachograph.Driver.Driver1.WorkingState,DRIVE,0.0004
current,Vehicle.Tachograph.Driver.Driver1.TimeRelatedStatus,NORMAL,0.005
current,Vehicle.Chassis.Accelerator.PedalPosition,60,0.01
